pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
18,PSO,2026-09-23_05-14-23.log,806219,2,500.0,500.0,14,293,0.352778
18,Naive,2026-09-23_05-23-25.log,,81,,,0,1,0.102778
18,Naive,2026-09-23_05-23-25.log,,81,,,1,2,0.241667
18,Naive,2026-09-23_05-23-25.log,,81,,,2,3,0.277778
18,Naive,2026-09-23_05-23-25.log,,81,,,4,5,0.283333
18,Naive,2026-09-23_05-23-25.log,,81,,,11,12,0.291667
18,Naive,2026-09-23_05-23-25.log,,81,,,43,44,0.294444
18,Naive,2026-09-23_05-23-25.log,,81,,,70,71,0.297222
18,Naive,2026-09-23_05-23-25.log,,81,,,160,161,0.305556
19,PSO,2026-09-23_05-31-32.log,76126870,2,500.0,500.0,0,1,0.277778
19,PSO,2026-09-23_05-31-32.log,76126870,2,500.0,500.0,0,7,0.294444
19,PSO,2026-09-23_05-31-32.log,76126870,2,500.0,500.0,1,31,0.316667
19,PSO,2026-09-23_05-31-32.log,76126870,2,500.0,500.0,12,259,0.358333
19,PSO,2026-09-23_05-31-32.log,76126870,2,500.0,500.0,14,299,0.361111
19,Naive,2026-09-23_05-40-38.log,,78,,,0,1,0.277778
19,Naive,2026-09-23_05-40-38.log,,78,,,6,7,0.294444
19,Naive,2026-09-23_05-40-38.log,,78,,,75,76,0.305556
19,Naive,2026-09-23_05-40-38.log,,78,,,112,113,0.313889
19,Naive,2026-09-23_05-40-38.log,,78,,,210,211,0.316667
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,0,1,0.286111
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,0,2,0.327778
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,1,39,0.369444
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,2,50,0.375
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,11,223,0.380556
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,11,237,0.388889
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,12,247,0.394444
20,PSO,2026-09-23_05-48-30.log,74509218,2,500.0,500.0,18,370,0.397222
20,Naive,2026-09-23_05-57-59.log,,131,,,0,1,0.286111
20,Naive,2026-09-23_05-57-59.log,,131,,,1,2,0.327778
20,Naive,2026-09-23_05-57-59.log,,131,,,20,21,0.341667
20,Naive,2026-09-23_05-57-59.log,,131,,,39,40,0.347222
20,Naive,2026-09-23_05-57-59.log,,131,,,259,260,0.361111
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,0,1,0.155556
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,0,2,0.213889
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,0,3,0.238889
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,0,9,0.311111
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,2,44,0.316667
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,3,74,0.319444
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,3,77,0.327778
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,4,86,0.333333
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,4,89,0.341667
21,PSO,2026-09-23_06-06-01.log,1664576,2,500.0,500.0,7,151,0.358333
